MES,mat_eq_nuevas_mes,ppef_mujeres_25_40,pct_indef_25_40,pct_amb_fill_25_40,RE_ponderado_lag1,RE_ponderado_lag2,RE_ponderado_lag3,mat_eq_lag1,mat_eq_lag12,mes
2018-06-30,3.658,1100.2236776019,0.0875278252,0.1099580433,15.036,13.524,9.324,5.3042903226,4.7986666667,6
2018-07-31,8.7700645161,1142.2470589526,0.0797170121,0.1087556766,14.616,15.036,13.524,3.658,2.8548387097,7
2018-08-31,3.2735483871,1151.6142432394,0.0803225655,0.1107346938,15.456,14.616,15.036,8.7700645161,1.18,8
2018-09-30,2.4439111111,1147.5928881308,0.0840291404,0.1123865477,9.576,15.456,14.616,3.2735483871,9.204,9
2018-10-31,6.6993548387,1142.0219563214,0.08319208,0.1196285904,12.348,9.576,15.456,2.4439111111,4.9864516129,10
2018-11-30,4.4331288889,1141.3571246589,0.082312568,0.1283859992,10.752,12.348,9.576,6.6993548387,3.894,11
2018-12-31,2.9690322581,1154.5684040419,0.075776004,0.135401447,4.452,10.752,12.348,4.4331288889,2.5883870968,12
2019-01-31,0.9516129032,1157.6531352328,0.0751358548,0.1326688686,5.544,4.452,10.752,2.9690322581,5.6716129032,1
2019-02-28,3.2028571429,1146.7996336584,0.07481584,0.097842047,6.3,5.544,4.452,0.9516129032,4.5935714286,2
2019-03-31,4.2632258065,1163.0387450169,0.0726528246,0.0998792782,11.256,6.3,5.544,3.2028571429,4.0698580645,3
2019-04-30,7.08,1152.3569711853,0.0788332333,0.1069238933,13.944,11.256,6.3,4.2632258065,1.534,4
2019-05-31,6.316172043,1163.6103765117,0.0766672476,0.1088903235,9.24,13.944,11.256,7.08,5.3042903226,5
2019-06-30,3.9946933333,1193.6319662015,0.0737379112,0.1098227234,8.064,9.24,13.944,6.316172043,3.658,6
2019-07-31,3.0070967742,1222.5778213531,0.0668705944,0.1104439028,10.164,8.064,9.24,3.9946933333,8.7700645161,7
2019-08-31,3.6922580645,1222.0862936699,0.066234742,0.1147706953,8.568,10.164,8.064,3.0070967742,3.2735483871,8
2019-09-30,2.9437066667,1223.9465238799,0.0661068048,0.1162793073,6.048,8.568,10.164,3.6922580645,2.4439111111,9
2019-10-31,2.3980645161,1190.9343778082,0.0647835908,0.1196195613,6.636,6.048,8.568,2.9437066667,6.6993548387,10
2019-11-30,2.1455022222,1196.196686019,0.0656509534,0.1278198622,7.14,6.636,6.048,2.3980645161,4.4331288889,11
2019-12-31,4.2175483871,1197.6584269934,0.0638346446,0.1274328663,5.544,7.14,6.636,2.1455022222,2.9690322581,12
2020-01-31,1.5987096774,1213.5004519364,0.0648385807,0.1299542366,5.46,5.544,7.14,4.2175483871,0.9516129032,1
2020-02-29,1.1393103448,1196.0305702812,0.0710325576,0.0940328156,3.024,5.46,5.544,1.5987096774,3.2028571429,2
2020-03-31,1.5225806452,1238.7878202467,0.0664895197,0.0871849026,6.048,3.024,5.46,1.1393103448,4.2632258065,3
2020-04-30,5.192,1338.2767800313,0.0606757158,0.0852903581,8.904,6.048,3.024,1.5225806452,7.08,4
2020-05-31,4.3393548387,1337.1936073037,0.0598492658,0.089651996,10.248,8.904,6.048,5.192,6.316172043,5
2020-06-30,8.4728797087,1314.743360149,0.1039069168,0.0899620697,12.18,10.248,8.904,4.3393548387,3.9946933333,6
2020-07-31,2.1544516129,1313.6895678952,0.1066571184,0.096775252,8.568,12.18,10.248,8.4728797087,3.0070967742,7
2020-08-31,2.8167741935,1327.5293931802,0.1111015246,0.0904274777,7.476,8.568,12.18,2.1544516129,3.6922580645,8
2020-09-30,4.9166666667,1311.6376652358,0.1147128626,0.1033510292,8.4,7.476,8.568,2.8167741935,2.9437066667,9
2020-10-31,9.0898064516,1361.1055161311,0.1215158497,0.0974513059,9.996,8.4,7.476,4.9166666667,2.3980645161,10
2020-11-30,6.6866666667,1425.9088434471,0.1261130028,0.096243448,12.432,9.996,8.4,9.0898064516,2.1455022222,11
2020-12-31,3.8313204301,1444.3542772765,0.1270412726,0.0948131787,8.4,12.432,9.996,6.6866666667,4.2175483871,12
2021-01-31,3.0832258065,1443.8536584377,0.1351436382,0.0969316819,6.384,8.4,12.432,3.8313204301,1.5987096774,1
2021-02-28,2.2757142857,1458.8802574856,0.136643442,0.0546045877,8.064,6.384,8.4,3.0832258065,1.1393103448,2
2021-03-31,7.1180645161,1467.3448999506,0.1362415711,0.0569121345,8.568,8.064,6.384,2.2757142857,1.5225806452,3
2021-04-30,2.124,1472.3213302144,0.1352788762,0.0620770709,9.408,8.568,8.064,7.1180645161,5.192,4
2021-05-31,3.4258064516,1461.7600389641,0.1345582546,0.0646058749,9.492,9.408,8.568,2.124,4.3393548387,5
2021-06-30,5.0661333333,1439.6487187283,0.1347076161,0.0646765607,16.632,9.492,9.408,3.4258064516,8.4728797087,6
2021-07-31,9.3324043011,1469.857404931,0.1318914037,0.067251119,18.06,16.632,9.492,5.0661333333,2.1544516129,7
2021-08-31,4.5296774194,1513.4575277459,0.1407723786,0.0676433152,17.304,18.06,16.632,9.3324043011,2.8167741935,8
2021-09-30,8.5978098925,1490.1066789767,0.1422048629,0.0666073189,15.96,17.304,18.06,4.5296774194,4.9166666667,9
2021-10-31,6.5090322581,1473.0610847126,0.1465395065,0.0736989321,15.456,15.96,17.304,8.5978098925,9.0898064516,10
2021-11-30,5.0021511111,1479.9654233247,0.1497020697,0.0751627323,11.508,15.456,15.96,6.5090322581,6.6866666667,11
2021-12-31,4.3012903226,1490.2578832111,0.1493307886,0.0803503877,15.96,11.508,15.456,5.0021511111,3.8313204301,12
2022-01-31,2.0174193548,1475.691922414,0.1528267766,0.081962084,13.86,15.96,11.508,4.3012903226,3.0832258065,1
2022-02-28,5.015,1501.415907938,0.2306696936,0.0629577719,11.928,13.86,15.96,2.0174193548,2.2757142857,2
2022-03-31,9.4780645161,1527.17820889,0.2332687815,0.0646464067,12.768,11.928,13.86,5.015,7.1180645161,3
2022-04-30,4.248,1515.5823009971,0.2379190781,0.0712941874,11.424,12.768,11.928,9.4780645161,2.124,4
2022-05-31,5.6716129032,1502.9695173468,0.2396642901,0.0786072801,9.324,11.424,12.768,4.248,3.4258064516,5
2022-06-30,9.1056666667,1521.0938424716,0.2415736244,0.0785915459,6.216,9.324,11.424,5.6716129032,5.0661333333,6
2022-07-31,5.5193548387,1538.5678453098,0.2376796784,0.0829702571,6.804,6.216,9.324,9.1056666667,9.3324043011,7
2022-08-31,5.5315354839,1556.7914713401,0.2365096588,0.0908324944,11.508,6.804,6.216,5.5193548387,4.5296774194,8
2022-09-30,3.6816,1567.429415292,0.2360055978,0.0957569969,12.012,11.508,6.804,5.5315354839,8.5978098925,9
2022-10-31,7.7651612903,1570.0721088517,0.2394037482,0.1032102774,9.576,12.012,11.508,3.6816,6.5090322581,10
2022-11-30,1.9273333333,1589.6602205643,0.2386216007,0.1085188678,9.156,9.576,12.012,7.7651612903,5.0021511111,11
2022-12-31,9.6303225806,1603.0480157762,0.2379387253,0.1134235238,10.5,9.156,9.576,1.9273333333,4.3012903226,12
2023-01-31,1.6748387097,1543.4616658008,0.2424954399,0.1239673666,14.952,10.5,9.156,9.6303225806,2.0174193548,1
2023-02-28,11.0414285714,1574.429202182,0.3339336503,0.0974085111,6.384,14.952,10.5,1.6748387097,5.015,2
2023-03-31,5.1767741935,1574.0585026448,0.333483526,0.1230905235,2.688,6.384,14.952,11.0414285714,9.4780645161,3
2023-04-30,5.2706666667,1582.0609648294,0.3333662857,0.1106721421,6.048,2.688,6.384,5.1767741935,4.248,4
2023-05-31,6.4709677419,1600.1061588066,0.3263819624,0.1110636422,12.936,6.048,2.688,5.2706666667,5.6716129032,5
2023-06-30,2.6353333333,1622.626580337,0.3195525882,0.1156326732,14.28,12.936,6.048,6.4709677419,9.1056666667,6
2023-07-31,5.595483871,1662.726252509,0.3047405722,0.1115070764,9.576,14.28,12.936,2.6353333333,5.5193548387,7
2023-08-31,3.6922580645,1680.6814024358,0.3061537735,0.1105322082,13.188,9.576,14.28,5.595483871,5.5315354839,8
2023-09-30,3.4613333333,1688.1562543026,0.3061241953,0.1151320569,15.624,13.188,9.576,3.6922580645,3.6816,9
2023-10-31,5.9284215054,1696.2426269846,0.3050809503,0.1183462687,14.952,15.624,13.188,3.4613333333,7.7651612903,10
2023-11-30,6.2933333333,1684.8425641152,0.3128557186,0.1194701628,11.172,14.952,15.624,5.9284215054,1.9273333333,11
2023-12-31,7.3083870968,1687.810782834,0.3152612268,0.1247835917,8.904,11.172,14.952,6.2933333333,9.6303225806,12
2024-01-31,7.286055914,1682.1192061636,0.2665057702,0.1199699852,9.156,8.904,11.172,7.3083870968,1.6748387097,1
2024-02-29,4.8827586207,1695.1758630504,0.2680310057,0.0923903532,8.568,9.156,8.904,7.286055914,11.0414285714,2
2024-03-31,5.3670967742,1707.9113929015,0.2670338361,0.093363827,9.492,8.568,9.156,4.8827586207,5.1767741935,3
2024-04-30,7.1488333333,1700.532992524,0.2706690041,0.100559911,9.66,9.492,8.568,5.3670967742,5.2706666667,4
2024-05-31,2.5503225806,1737.7971285005,0.2740871321,0.1086394748,8.82,9.66,9.492,7.1488333333,6.4709677419,5
2024-06-30,5.5066666667,1750.8323379867,0.2788475811,0.1060210618,11.004,8.82,9.66,2.5503225806,2.6353333333,6
2024-07-31,10.5819354839,1764.4054630167,0.3400781083,0.1078696938,7.476,11.004,8.82,5.5066666667,5.595483871,7
2024-08-31,5.5574193548,1761.480072101,0.3437367182,0.1308983282,7.644,7.476,11.004,10.5819354839,3.6922580645,8
2024-09-30,1.888,1754.3144532048,0.3508520568,0.1152955897,10.248,7.644,7.476,5.5574193548,3.4613333333,9
2024-10-31,5.3823225806,1750.1918627862,0.3545882431,0.1232648668,9.324,10.248,7.644,1.888,5.9284215054,10
2024-11-30,8.968,1741.9085529305,0.3624752539,0.1218311806,21.672,9.324,10.248,5.3823225806,6.2933333333,11
2024-12-31,3.2539855327,1752.5251207194,0.3847217798,0.1251329801,18.816,21.672,9.324,8.968,7.3083870968,12
2025-01-31,8.2980645161,1746.2229381872,0.3859225601,0.1337710534,10.668,18.816,21.672,3.2539855327,7.286055914,1
2025-02-28,15.1637662338,1745.0092125156,0.5091916087,0.0796676814,13.86,10.668,18.816,8.2980645161,4.8827586207,2
2025-03-31,15.3379698925,1735.4364933715,0.5213764969,0.1081565113,11.172,13.86,10.668,15.1637662338,5.3670967742,3
2025-04-30,3.6459377778,1721.2258831594,0.5183488637,0.0887021288,12.012,11.172,13.86,15.3379698925,7.1488333333,4
2025-05-31,5.9380645161,1715.1048374872,0.5584334958,0.093861469,9.576,12.012,11.172,3.6459377778,2.5503225806,5
2025-06-30,10.1254488889,1761.8075811305,0.596447409,0.0971399191,15.372,9.576,12.012,5.9380645161,5.5066666667,6
2025-07-31,4.9742709677,1770.3231813589,0.5986289141,0.0995329459,10.332,15.372,9.576,10.1254488889,10.5819354839,7
2025-08-31,5.9949075269,1757.9011716026,0.6154767491,0.0994168449,7.98,10.332,15.372,4.9742709677,5.5574193548,8
2025-09-30,4.7787377778,1768.8991520418,0.6142329609,0.1068042006,11.004,7.98,10.332,5.9949075269,1.888,9
2025-10-31,9.2547526882,1774.9382593445,0.6123423868,0.1162172161,11.34,11.004,7.98,4.7787377778,5.3823225806,10
2025-11-30,6.0966666667,1780.6324682207,0.6101086983,0.1215536363,14.616,11.34,11.004,9.2547526882,8.968,11
2025-12-31,11.083372043,1799.4988459034,0.5973184927,0.1180701106,14.364,14.616,11.34,6.0966666667,3.2539855327,12
2026-01-31,7.4606451613,1778.9198479075,0.5977673324,0.1193457632,13.188,14.364,14.616,11.083372043,8.2980645161,1
2026-02-28,7.3328571429,1772.5417548291,0.5996185917,0.0961168396,15.036,13.188,14.364,7.4606451613,15.1637662338,2
2026-03-31,6.9206365591,1776.3304885944,0.6005259373,0.0992606283,10.416,15.036,13.188,7.3328571429,15.3379698925,3
